                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5562,                 2.9303,                  1.386,                0.00333,                      1,                0.88573,                0.54012,                0.72236,                 2.5948,                 1.0719,                0.00024,                0.00024,                0.00024
                      2,                0.73644,                 1.7895,                0.92101,                0.00333,                      1,                  0.995,                0.78389,                0.47182,                  2.526,                 1.0186,              0.0004901,              0.0004901,              0.0004901
                      3,                0.70016,                 1.1767,                0.92278,                0.00333,                      1,                  0.995,                0.75344,                0.80283,                 2.3578,                 1.1189,              0.0007299,              0.0007299,              0.0007299
                      4,                0.68205,                0.94112,                0.90525,                0.00333,                      1,                 0.9679,                0.88694,                0.37429,                 2.3984,                0.96238,             0.00095941,             0.00095941,             0.00095941
                      5,                 0.6803,                0.85196,                0.91415,                0.00333,                      1,                  0.995,                0.88019,                0.52301,                 2.3219,                 1.0624,              0.0011786,              0.0011786,              0.0011786
                      6,                 0.6426,                0.80002,                0.89982,                0.00334,                      1,                  0.995,                0.83636,                0.46344,                 2.1662,                0.96217,              0.0013875,              0.0013875,              0.0013875
                      7,                0.62455,                0.76978,                0.89306,                0.99378,                      1,                  0.995,                0.73505,                 0.8343,                 1.6201,                 1.0863,              0.0015862,              0.0015862,              0.0015862
                      8,                  0.631,                  0.716,                0.91407,                0.99211,                      1,                  0.995,                0.87214,                0.58381,                 1.6468,                0.94891,              0.0017228,              0.0017228,              0.0017228
                      9,                0.67751,                0.74532,                0.89183,                0.99735,                      1,                  0.995,                0.88659,                0.67507,                  1.076,                0.95013,              0.0016832,              0.0016832,              0.0016832
                     10,                0.70826,                0.70027,                0.91547,                0.99618,                      1,                  0.995,                0.79959,                0.73139,                 1.1061,                0.97143,              0.0016436,              0.0016436,              0.0016436
                     11,                0.60449,                  0.633,                0.88842,                0.99797,                      1,                  0.995,                 0.8621,                0.52616,                0.89646,                0.95037,               0.001604,               0.001604,               0.001604
                     12,                0.52634,                 0.5945,                0.88307,                0.99852,                      1,                  0.995,                0.84762,                0.59735,                0.77061,                0.93127,              0.0015644,              0.0015644,              0.0015644
                     13,                0.54668,                 0.5709,                0.87738,                0.99863,                      1,                  0.995,                0.90707,                0.56807,                0.76016,                0.98317,              0.0015248,              0.0015248,              0.0015248
                     14,                0.50056,                0.53614,                0.87658,                0.99868,                      1,                  0.995,                0.91451,                0.43842,                0.65678,                0.95809,              0.0014852,              0.0014852,              0.0014852
                     15,                0.51798,                0.52326,                 0.8722,                0.99876,                      1,                  0.995,                0.89133,                0.43088,                0.66394,                0.93476,              0.0014456,              0.0014456,              0.0014456
                     16,                0.51344,                0.52585,                0.86896,                0.99875,                      1,                  0.995,                0.95716,                0.33826,                0.53885,                0.92183,               0.001406,               0.001406,               0.001406
                     17,                0.48509,                0.49354,                0.85504,                0.99871,                      1,                  0.995,                 0.9365,                0.36999,                 0.5001,                0.91236,              0.0013664,              0.0013664,              0.0013664
                     18,                0.45432,                0.46273,                0.85725,                0.99891,                      1,                  0.995,                0.94213,                0.34713,                0.46129,                 0.9081,              0.0013268,              0.0013268,              0.0013268
                     19,                0.43839,                0.43017,                0.84875,                0.99887,                      1,                  0.995,                0.90222,                0.43403,                 0.4019,                0.92009,              0.0012872,              0.0012872,              0.0012872
                     20,                0.45438,                0.42811,                0.84609,                0.99887,                      1,                  0.995,                0.90258,                0.48401,                0.42435,                0.92956,              0.0012476,              0.0012476,              0.0012476
                     21,                0.47126,                0.42636,                0.86156,                0.99889,                      1,                  0.995,                0.92365,                0.39401,                0.39361,                0.93229,               0.001208,               0.001208,               0.001208
                     22,                0.42451,                0.41428,                0.84323,                0.99885,                      1,                  0.995,                0.89731,                0.40539,                0.39095,                0.92348,              0.0011684,              0.0011684,              0.0011684
                     23,                0.43846,                0.41072,                0.85308,                0.99884,                      1,                  0.995,                0.98838,                0.27493,                0.36013,                0.90729,              0.0011288,              0.0011288,              0.0011288
                     24,                0.45665,                0.41476,                0.84582,                0.99891,                      1,                  0.995,                0.96505,                 0.2757,                0.33373,                0.90355,              0.0010892,              0.0010892,              0.0010892
                     25,                0.39362,                 0.3789,                0.85008,                0.99892,                      1,                  0.995,                 0.9105,                0.38581,                 0.3539,                0.90815,              0.0010496,              0.0010496,              0.0010496
                     26,                0.38305,                0.37683,                0.84153,                0.99891,                      1,                  0.995,                0.93818,                0.29756,                0.30629,                0.90825,                0.00101,                0.00101,                0.00101
